Network,Target,Controllers,Errors,Minutes
./input/networks/large11SCC/23169817_high_dna_damage.bnet,!pten,[['0']],NA,18.60185
./input/networks/large11SCC/23169817_high_dna_damage.bnet,arf,[['0']],NA,24.92686
./input/networks/large11SCC/23169817_high_dna_damage.bnet,!arf,[['0']],NA,20.20369
./input/networks/large11SCC/23169817_high_dna_damage.bnet,bcl2,[['0']],NA,31.63775
./input/networks/large11SCC/23169817_high_dna_damage.bnet,!bcl2,[['0']],NA,42.61674
./input/networks/large11SCC/23169817_high_dna_damage.bnet,e2f1,[['0']],NA,24.64143
./input/networks/large11SCC/23169817_high_dna_damage.bnet,!e2f1,[['0']],NA,44.62889
./input/networks/large11SCC/23658556_model_10.bnet,IAA5,"[['!Auxin'], ['PHB']]","[0.0, 0.0]",0.00461
./input/networks/large11SCC/23658556_model_10.bnet,!IAA5,"[['!PHB', 'Auxin', 'miRNA165']]",[0.0],0.00312
./input/networks/large11SCC/23658556_model_10.bnet,ACR,"[['!PHB', '!SHR', 'Auxin', 'miRNA165'], ['!PHB', 'Auxin', 'CYA', 'SYS'], ['!PHB', 'Auxin', 'CYA', 'miRNA165']]","[0.0, 0.0, 0.0]",0.00739
./input/networks/large11SCC/23658556_model_10.bnet,!ACR,"[['!Auxin'], ['PHB']]","[0.0, 0.0]",0.00611
./input/networks/large11SCC/23658556_model_10.bnet,JKD,"[['!CLE', '!CYA', 'JKD', 'SHR'], ['!CLE', '!CYA', 'SCR', 'SHR'], ['!CLE', '!CYA', 'SHR', 'SYS'], ['!CLE', 'JKD', 'PHB', 'SHR'], ['!CLE', 'PHB', 'SCR', 'SHR'], ['!CLE', 'PHB', 'SHR', 'SYS']]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.55424
./input/networks/large11SCC/23658556_model_10.bnet,!JKD,"[['!IAA5', 'CLE', 'SYS'], ['!IAA5', 'CLE', 'miRNA165'], ['!PHB', '!SHR', 'miRNA165'], ['!PHB', 'CYA', 'SYS'], ['!PHB', 'CYA', 'miRNA165'], ['!SHR', 'CYA', 'SYS'], ['!SHR', 'CYA', 'miRNA165'], ['ACR', 'CLE', 'miRNA165']]","[0.3025, 0.197, 0.089, 0.164, 0.1155, 0.073, 0.0525, 0.209]",0.87768
./input/networks/large11SCC/23658556_model_10.bnet,Auxin,"[['!PHB', 'Auxin', 'miRNA165']]",[0.0],0.00372
./input/networks/large11SCC/23658556_model_10.bnet,!Auxin,"[['!Auxin'], ['PHB']]","[0.0, 0.0]",0.00527
./input/networks/large11SCC/23935937.bnet,CMYC,[['0']],NA,0.04434
./input/networks/large11SCC/23935937.bnet,!CMYC,"[['!DYRK1'], ['!NUC_STK36'], ['ITCH'], ['NUC_SUFU'], ['NUMB']]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.03332
./input/networks/large11SCC/23935937.bnet,EMT,"[['!BTRCP', '!CKI_A', '!GSK3', '!ITCH', '!NUC_SUFU', '!NUMB', '!PKA_A', '!SUFU', 'DYRK1', 'GLI1', 'NUC_GLI1', 'NUC_STK36']]",[0.0],0.03252
./input/networks/large11SCC/23935937.bnet,!EMT,"[['!DYRK1'], ['!NUC_STK36'], ['ITCH'], ['NUC_SUFU'], ['NUMB']]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.03901
./input/networks/large11SCC/23935937.bnet,NOTCH_SIGNAL,[['0']],NA,0.03911
./input/networks/large11SCC/23935937.bnet,!NOTCH_SIGNAL,"[['!DYRK1'], ['!NUC_STK36'], ['ITCH'], ['NUC_SUFU'], ['NUMB']]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.0346
./input/networks/large11SCC/23935937.bnet,WNT_SIGNAL,[['0']],NA,0.03263
./input/networks/large11SCC/23935937.bnet,!WNT_SIGNAL,[['1']],[0.0],0.03296
./input/networks/large11SCC/25063553_OR_OR.bnet,pfk2,"[['!gcg', 'basal_exp', 'g6p', 'x5p'], ['!gcg', 'basal_exp', 'gluc_in', 'x5p']]","[0.0, 0.0]",0.0714
./input/networks/large11SCC/25063553_OR_OR.bnet,!pfk2,"[['!x5p'], ['gcg']]","[0.0, 0.0]",0.0843
./input/networks/large11SCC/25063553_OR_OR.bnet,lgk,[['0']],NA,0.16802
./input/networks/large11SCC/25063553_OR_OR.bnet,!lgk,"[['!basal_act', '!ins', 'basal_exp']]",[0.0],0.19982
./input/networks/large11SCC/25063553_OR_OR.bnet,pepck_c,[['0']],NA,0.34513
./input/networks/large11SCC/25063553_OR_OR.bnet,!pepck_c,[['0']],NA,0.18194
./input/networks/large11SCC/25063553_OR_OR.bnet,fbp2,"[['!ins', '!x5p', 'basal_exp', 'g6p', 'gcg', 'gluc_in']]",[0.0],0.15877
./input/networks/large11SCC/25063553_OR_OR.bnet,!fbp2,[['0']],NA,0.14157
./input/networks/large11SCC/25189528.bnet,NOTCH,[['1']],[0.0],0.03351
./input/networks/large11SCC/25189528.bnet,!NOTCH,[['0']],NA,0.03166
./input/networks/large11SCC/25189528.bnet,cMet,[['1']],[0.0],0.40685
./input/networks/large11SCC/25189528.bnet,!cMet,[['0']],NA,0.2554
./input/networks/large11SCC/25189528.bnet,EGFR,[['EGF']],[0.0],0.00756
./input/networks/large11SCC/25189528.bnet,!EGFR,[['!EGF']],[0.0],0.00713
./input/networks/large11SCC/25189528.bnet,SNAI2,[['1']],[0.0],0.01515
./input/networks/large11SCC/25189528.bnet,!SNAI2,[['0']],NA,0.01007
./input/networks/large11SCC/25780058.bnet,ROCK,[['0']],NA,2.18952
./input/networks/large11SCC/25780058.bnet,!ROCK,"[['!EGF', '!Src', 'CSK'], ['!EGF', 'CSK', 'FAK']]","[0.0, 0.0]",1.91138
./input/networks/large11SCC/25780058.bnet,PTP_EGFR,[['0']],NA,1.98674
./input/networks/large11SCC/25780058.bnet,!PTP_EGFR,[['0']],NA,1.51764
./input/networks/large11SCC/25780058.bnet,Raf,[['0']],NA,1.76941
./input/networks/large11SCC/25780058.bnet,!Raf,[['!EGF']],[0.0],0.73276
./input/networks/large11SCC/25780058.bnet,p190RhoGEF,[['0']],NA,1.45571
./input/networks/large11SCC/25780058.bnet,!p190RhoGEF,[['1']],[0.038],0.88159
./input/networks/large11SCC/25967891.bnet,FUL,"[['AG', 'LFY'], ['LFY', 'TFL1']]","[0.0, 0.0]",0.01885
./input/networks/large11SCC/25967891.bnet,!FUL,"[['!EMF1', '!LFY', '!WUS', 'AP2'], ['!EMF1', '!LFY', '!WUS', 'TFL1']]","[0.0, 0.0]",0.0215
./input/networks/large11SCC/25967891.bnet,TFL1,"[['!AP1', '!FT', '!LFY', 'EMF1', 'TFL1'], ['!AP1', '!LFY', 'AG', 'EMF1', 'TFL1']]","[0.0, 0.0]",0.0066
./input/networks/large11SCC/25967891.bnet,!TFL1,"[['!EMF1'], ['!TFL1'], ['AP1'], ['LFY']]","[0.0, 0.0, 0.0, 0.0]",0.00617
./input/networks/large11SCC/25967891.bnet,FT,"[['!EMF1'], ['!TFL1'], ['AP1'], ['LFY']]","[0.0, 0.0, 0.0, 0.0]",0.00584
./input/networks/large11SCC/25967891.bnet,!FT,"[['!AP1', '!FT', '!LFY', 'EMF1', 'TFL1'], ['!AP1', '!LFY', 'AG', 'EMF1', 'TFL1']]","[0.0, 0.0]",0.00869
./input/networks/large11SCC/25967891.bnet,AP2,"[['!EMF1'], ['!TFL1'], ['AP1'], ['LFY']]","[0.0, 0.0, 0.0, 0.0]",0.00588
./input/networks/large11SCC/25967891.bnet,!AP2,"[['!AP1', '!FT', '!LFY', 'EMF1', 'TFL1'], ['!AP1', '!LFY', 'AG', 'EMF1', 'TFL1']]","[0.0, 0.0]",0.00625
./input/networks/large11SCC/25980672.bnet,Bcl_2_K,[['0']],NA,0.66235
./input/networks/large11SCC/25980672.bnet,!Bcl_2_K,[['0']],NA,0.68445
./input/networks/large11SCC/25980672.bnet,Bcl_2_M,[['0']],NA,0.58066
./input/networks/large11SCC/25980672.bnet,!Bcl_2_M,[['0']],NA,0.71139
./input/networks/large11SCC/25980672.bnet,JNK_K,[['0']],NA,0.67435
./input/networks/large11SCC/25980672.bnet,!JNK_K,[['!UVB']],[0.0],0.36274
./input/networks/large11SCC/25980672.bnet,EGFR_K,[['0']],NA,0.53415
./input/networks/large11SCC/25980672.bnet,!EGFR_K,[['!UVB']],[0.0],0.48284
./input/networks/large11SCC/26564978.bnet,P15,"[['!MKP'], ['OX40'], ['TNFR']]","[0.0, 0.0, 0.0]",0.0961
./input/networks/large11SCC/26564978.bnet,!P15,[['0']],NA,0.12938
./input/networks/large11SCC/26564978.bnet,CDK_4,"[['!MKP'], ['CD27'], ['TNFR']]","[0.0, 0.0, 0.0]",0.1012
./input/networks/large11SCC/26564978.bnet,!CDK_4,[['0']],NA,0.18243
./input/networks/large11SCC/26564978.bnet,P53,[['!MKP']],[0.0],0.09351
./input/networks/large11SCC/26564978.bnet,!P53,[['MKP']],[1.0],0.07969
./input/networks/large11SCC/26564978.bnet,STAT3,[['1']],[0.0],0.04345
./input/networks/large11SCC/26564978.bnet,!STAT3,[['0']],NA,0.10681
./input/networks/large11SCC/26660865.bnet,IL6_DELTA4_T,[['!FACTOR14']],[0.0],0.1529
./input/networks/large11SCC/26660865.bnet,!IL6_DELTA4_T,"[['!FACTOR15', 'FACTOR14'], ['FACTOR14', 'MKP_T']]","[0.0, 0.0]",0.12442
./input/networks/large11SCC/26660865.bnet,CYCLIN_E_T,[['1']],[0.0],0.06894
./input/networks/large11SCC/26660865.bnet,!CYCLIN_E_T,[['0']],NA,0.09122
./input/networks/large11SCC/26660865.bnet,STAT1_T,[['1']],[0.0],0.05877
./input/networks/large11SCC/26660865.bnet,!STAT1_T,[['0']],NA,0.08277
./input/networks/large11SCC/26660865.bnet,PDGF_T,"[['!FACTOR1'], ['!FACTOR2'], ['!MKP_T']]","[0.0, 0.0, 0.0]",0.06017
./input/networks/large11SCC/26660865.bnet,!PDGF_T,"[['FACTOR1', 'FACTOR2', 'MKP_T']]",[0.0],0.06676
./input/networks/large11SCC/27138333.bnet,P90rsk,"[['!Mtor', 'Pdk1'], ['!Pip2', 'Pdk1'], ['Pdk1', 'Pp2a'], ['Pdk1', 'Pten'], ['Pdk1', 'Rap1A']]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.05212
./input/networks/large11SCC/27138333.bnet,!P90rsk,[['!Pdk1']],[0.0],0.05166
./input/networks/large11SCC/27138333.bnet,Rap1a,"[['!p90rsk', 'EGF']]",[0.0],0.03172
./input/networks/large11SCC/27138333.bnet,!Rap1a,[['!EGF']],[0.0],0.03122
./input/networks/large11SCC/27138333.bnet,Pip3,"[['!Pten', '!Ship2', 'EGF', 'Pip2']]",[0.0],0.00474
./input/networks/large11SCC/27138333.bnet,!Pip3,"[['!Pip2'], ['Pten'], ['Ship2']]","[0.0, 0.0, 0.0]",0.00421
./input/networks/large11SCC/27138333.bnet,RalbP1,[['Rap1A']],[0.0],0.00169
./input/networks/large11SCC/27138333.bnet,!RalbP1,[['!Rap1A']],[0.0],0.00172
./input/networks/large11SCC/27464342_curated_model.bnet,p90Rsk_il,[['IRS1_2']],[0.0],0.00789
./input/networks/large11SCC/27464342_curated_model.bnet,!p90Rsk_il,"[['!IRS1_2', '!LPS'], ['!IRS1_2', '!hk'], ['!IRS1_2', 'SIGIRR'], ['!IRS1_2', 'ST2']]","[0.0, 0.0, 0.245, 0.26]",0.01014
./input/networks/large11SCC/27464342_curated_model.bnet,IL6_syn,[['0']],NA,0.08455
./input/networks/large11SCC/27464342_curated_model.bnet,!IL6_syn,[['1']],[0.010478999999999999],0.05162
./input/networks/large11SCC/27464342_curated_model.bnet,Ccl5_Stat1,[['0']],NA,0.07559
./input/networks/large11SCC/27464342_curated_model.bnet,!Ccl5_Stat1,"[['!LPS'], ['!hk'], ['IL_10R'], ['hk_inh']]","[0.0, 0.0, 0.0, 0.0]",0.04691
./input/networks/large11SCC/27464342_curated_model.bnet,PKC,[['IRS1_2']],[0.0],0.00713
./input/networks/large11SCC/27464342_curated_model.bnet,!PKC,"[['!IRS1_2', '!LPS'], ['!IRS1_2', '!hk'], ['!IRS1_2', 'SIGIRR'], ['!IRS1_2', 'ST2']]","[0.0, 0.0, 0.25, 0.247]",0.01017
./input/networks/large11SCC/27613445.bnet,G1_S,[['0']],NA,0.03342
./input/networks/large11SCC/27613445.bnet,!G1_S,[['1']],[0.001],0.01779
./input/networks/large11SCC/27613445.bnet,Senescence,[['0']],NA,3.47738
./input/networks/large11SCC/27613445.bnet,!Senescence,[['0']],NA,1.92627
./input/networks/large11SCC/27613445.bnet,IRS_PIK3CA,[['Insulin']],[0.0],0.00255
./input/networks/large11SCC/27613445.bnet,!IRS_PIK3CA,[['!Insulin']],[0.0],0.00315
./input/networks/large11SCC/27613445.bnet,p21,[['0']],NA,1.57092
./input/networks/large11SCC/27613445.bnet,!p21,[['0']],NA,2.73193
./input/networks/large11SCC/28187161.bnet,HB8,[['0']],NA,0.56099
./input/networks/large11SCC/28187161.bnet,!HB8,[['!BR']],[0.0],0.35057
./input/networks/large11SCC/28187161.bnet,WOX4,"[['!CK0', 'GA', 'TDIF'], ['!CK0', 'IAA0', 'TDIF']]","[0.061912999999999996, 0.06470699999999996]",0.29431
./input/networks/large11SCC/28187161.bnet,!WOX4,"[['!ETHL', '!TDIF']]",[0.0],0.34865
./input/networks/large11SCC/28187161.bnet,DELLA,"[['!GA', '!IAA0']]",[0.0],0.34149
./input/networks/large11SCC/28187161.bnet,!DELLA,[['GA']],[0.0],0.35133
./input/networks/large11SCC/28187161.bnet,BZR1,"[['!TDIF', 'BR', 'GA']]",[0.0],0.39617
./input/networks/large11SCC/28187161.bnet,!BZR1,[['!BR']],[0.0],0.26159
./input/networks/large11SCC/28381275.bnet,CyclinE,[['0']],NA,0.64768
./input/networks/large11SCC/28381275.bnet,!CyclinE,[['DNAdamage']],[0.0],0.44391
./input/networks/large11SCC/28381275.bnet,Wnt,[['0']],NA,0.56164
./input/networks/large11SCC/28381275.bnet,!Wnt,"[['!EGF', 'DNAdamage']]",[0.0],0.91689
./input/networks/large11SCC/28381275.bnet,ERK,[['0']],NA,0.07981
./input/networks/large11SCC/28381275.bnet,!ERK,[['!EGF']],[0.0],0.18385
./input/networks/large11SCC/28381275.bnet,BRCA1,[['0']],NA,0.38632
./input/networks/large11SCC/28381275.bnet,!BRCA1,[['1']],[0.0],0.10101
./input/networks/large11SCC/28426669_ARF10_greater_ARF5.bnet,MGP,"[['!PHB', 'JKD', 'MIR166', 'SCR', 'SHR']]",[0.0],0.0025
./input/networks/large11SCC/28426669_ARF10_greater_ARF5.bnet,!MGP,"[['!JKD'], ['!MIR166'], ['!SCR'], ['!SHR'], ['PHB']]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.00188
./input/networks/large11SCC/28426669_ARF10_greater_ARF5.bnet,CLE40,"[['!JKD', '!SHR'], ['!SCR', '!SHR']]","[0.0, 0.0]",0.00182
./input/networks/large11SCC/28426669_ARF10_greater_ARF5.bnet,!CLE40,[['SHR']],[0.0],0.0014
./input/networks/large11SCC/28426669_ARF10_greater_ARF5.bnet,MIR166,"[['!PHB', 'MIR166']]",[0.0],0.00189
./input/networks/large11SCC/28426669_ARF10_greater_ARF5.bnet,!MIR166,"[['!MIR166', '!SCR', 'PHB'], ['!MIR166', '!SHR', 'PHB']]","[0.0, 0.0]",0.00182
./input/networks/large11SCC/28426669_ARF10_greater_ARF5.bnet,PHB,"[['!MIR166', '!SCR', 'PHB'], ['!MIR166', '!SHR', 'PHB']]","[0.0, 0.0]",0.00187
./input/networks/large11SCC/28426669_ARF10_greater_ARF5.bnet,!PHB,"[['!PHB', 'MIR166']]",[0.0],0.00228
./input/networks/large11SCC/28455685.bnet,S6K1,[['1']],[0.0],0.0031
./input/networks/large11SCC/28455685.bnet,!S6K1,[['0']],NA,0.00407
./input/networks/large11SCC/28455685.bnet,Erk1_2,[['0']],NA,0.00425
./input/networks/large11SCC/28455685.bnet,!Erk1_2,[['1']],[0.0],0.0033
./input/networks/large11SCC/28455685.bnet,mTORC1,[['1']],[0.0],0.00299
./input/networks/large11SCC/28455685.bnet,!mTORC1,[['0']],NA,0.00386
./input/networks/large11SCC/28455685.bnet,PIP3,"[['!PTEN', 'EGFR']]",[0.0],0.04767
./input/networks/large11SCC/28455685.bnet,!PIP3,[['PTEN']],[0.0],0.02954
./input/networks/large11SCC/29186334.bnet,mmcp6,"[['!cebpa', 'gata1'], ['!cebpa', 'gata2'], ['ckit', 'gata1'], ['ckit', 'gata2'], ['gata1', 'mitf'], ['gata2', 'mitf']]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.11204
./input/networks/large11SCC/29186334.bnet,!mmcp6,"[['!ckit', '!mitf', 'cebpa']]",[0.0],0.08816
./input/networks/large11SCC/29186334.bnet,ccr3,"[['!ckit', '!mitf', 'cebpa', 'gata1', 'pu1'], ['!ckit', '!mitf', 'cebpa', 'gata1', 'runx1']]","[0.0, 0.0]",0.00709
./input/networks/large11SCC/29186334.bnet,!ccr3,"[['!cebpa'], ['!gata1'], ['ckit'], ['mitf']]","[0.0, 0.0, 0.0, 0.0]",0.00483
./input/networks/large11SCC/29186334.bnet,mccpa,"[['!cebpa', 'gata1'], ['!cebpa', 'gata2'], ['ckit', 'gata1'], ['ckit', 'gata2'], ['gata1', 'mitf'], ['gata2', 'mitf']]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.13395
./input/networks/large11SCC/29186334.bnet,!mccpa,"[['!ckit', '!mitf', 'cebpa']]",[0.0],0.08488
./input/networks/large11SCC/29186334.bnet,fceRIb,[['gata1']],[0.0],0.00446
./input/networks/large11SCC/29186334.bnet,!fceRIb,[['!gata1']],[0.0],0.0052
./input/networks/large11SCC/29230182.bnet,CDC42,"[['WNT11'], ['WNT5a']]","[0.0, 0.0]",0.01113
./input/networks/large11SCC/29230182.bnet,!CDC42,"[['!WNT11', '!WNT5a', '!WNT7a'], ['!WNT11', '!WNT5a', 'DKK1'], ['!WNT11', '!WNT5a', 'sFRP1']]","[0.0, 0.114493, 0.11666300000000002]",0.01288
./input/networks/large11SCC/29230182.bnet,Axin2,[['0']],NA,0.10129
./input/networks/large11SCC/29230182.bnet,!Axin2,[['BTrCP']],[0.143],0.06896
./input/networks/large11SCC/29230182.bnet,CyclinD1,[['0']],NA,0.10254
./input/networks/large11SCC/29230182.bnet,!CyclinD1,[['BTrCP']],[0.167],0.05208
./input/networks/large11SCC/29230182.bnet,PDGFB,"[['!Oxygen', 'WNT11']]",[0.4605],0.26945
./input/networks/large11SCC/29230182.bnet,!PDGFB,"[['!AMPATP', '!BMP9', 'Oxygen'], ['!AMPATP', 'Oxygen', 'VEGFCDp']]","[0.46919099999999997, 0.502]",0.2759
./input/networks/large11SCC/29237040.bnet,CCA,"[['!miRNA', '!p53', 'EMTreg']]",[0.0],0.2471
./input/networks/large11SCC/29237040.bnet,!CCA,[['0']],NA,0.50184
./input/networks/large11SCC/29237040.bnet,Apoptosis,"[['!ECMicroenv', 'DNAdamage', 'miRNA'], ['!ECMicroenv', 'DNAdamage', 'p53']]","[0.0, 0.0]",0.11061
./input/networks/large11SCC/29237040.bnet,!Apoptosis,[['!DNAdamage']],[0.0],0.0704
./input/networks/large11SCC/29237040.bnet,Metastasis,"[['!miRNA', '!p53', 'ECMicroenv', 'EMTreg']]",[0.0],0.01957
./input/networks/large11SCC/29237040.bnet,!Metastasis,"[['!ECMicroenv'], ['miRNA'], ['p53']]","[0.0, 0.0, 0.0]",0.01731
./input/networks/large11SCC/29237040.bnet,miRNA,"[['!AKT1', '!AKT2', '!EMTreg', '!p63_73', 'DNAdamage', 'p53']]",[0.0],0.04278
./input/networks/large11SCC/29237040.bnet,!miRNA,[['!DNAdamage']],[0.0],0.03057
./input/networks/large11SCC/29378814.bnet,Smad7,[['0']],NA,1.47343
./input/networks/large11SCC/29378814.bnet,!Smad7,"[['!SignalBMP', 'SignalLIF'], ['!SignalBMP', 'SignalWNT'], ['SignalERK', 'SignalWNT']]","[0.0, 0.0, 0.0]",1.56565
./input/networks/large11SCC/29378814.bnet,Fgfr2,[['0']],NA,2.29349
./input/networks/large11SCC/29378814.bnet,!Fgfr2,[['SignalWNT']],[0.051],1.53804
./input/networks/large11SCC/29378814.bnet,BMP4,"[['SignalBMP'], ['SignalERK'], ['SignalWNT']]","[0.0, 0.0, 0.0]",0.42244
./input/networks/large11SCC/29378814.bnet,!BMP4,"[['!SignalBMP', '!SignalERK', '!SignalLIF', '!SignalWNT']]",[0.0],0.52759
./input/networks/large11SCC/29378814.bnet,Rex1,"[['!SignalBMP', '!SignalERK']]",[0.07899999999999996],3.34928
./input/networks/large11SCC/29378814.bnet,!Rex1,"[['!SignalBMP', '!SignalLIF', 'SignalERK'], ['!SignalBMP', '!SignalWNT', 'SignalERK']]","[0.006, 0.059]",4.13795
./input/networks/large11SCC/29596489.bnet,TCF,[['Wnt']],[0.0],0.29845
./input/networks/large11SCC/29596489.bnet,!TCF,[['0']],NA,0.29478
./input/networks/large11SCC/29596489.bnet,GSK3beta,[['0']],NA,0.1949
./input/networks/large11SCC/29596489.bnet,!GSK3beta,[['Wnt']],[0.0],0.20299
./input/networks/large11SCC/29596489.bnet,mTORC2,[['0']],NA,0.25893
./input/networks/large11SCC/29596489.bnet,!mTORC2,"[['!IGF'], ['Wnt']]","[0.0, 0.0]",0.17951
./input/networks/large11SCC/29596489.bnet,JNK,[['Wnt']],[0.0],0.11555
./input/networks/large11SCC/29596489.bnet,!JNK,"[['!IGF', '!Wnt']]",[0.0],0.16238
./input/networks/large11SCC/29632237.bnet,Viacel,[['0']],NA,0.19714
./input/networks/large11SCC/29632237.bnet,!Viacel,[['1']],[0.0],0.10327
./input/networks/large11SCC/29632237.bnet,PIP3,[['0']],NA,0.20188
./input/networks/large11SCC/29632237.bnet,!PIP3,[['1']],[0.001],0.12972
./input/networks/large11SCC/29632237.bnet,CYCB,[['0']],NA,0.07345
./input/networks/large11SCC/29632237.bnet,!CYCB,[['1']],[0.001],0.05989
./input/networks/large11SCC/29632237.bnet,CDK2,[['0']],NA,0.07234
./input/networks/large11SCC/29632237.bnet,!CDK2,[['1']],[0.0],0.0915
./input/networks/large11SCC/30024932.bnet,G2_M_Arrest,[['0']],NA,0.3146
./input/networks/large11SCC/30024932.bnet,!G2_M_Arrest,[['!IR']],[0.0],0.25139
./input/networks/large11SCC/30024932.bnet,Proliferation,[['!IR']],[0.0],0.06954
./input/networks/large11SCC/30024932.bnet,!Proliferation,[['IR']],[0.0],0.09861
./input/networks/large11SCC/30024932.bnet,G2_M_Apoptosis,[['0']],NA,0.40394
./input/networks/large11SCC/30024932.bnet,!G2_M_Apoptosis,[['!IR']],[0.0],0.27347
./input/networks/large11SCC/30024932.bnet,RB,[['0']],NA,0.0485
./input/networks/large11SCC/30024932.bnet,!RB,[['!IR']],[0.0],0.09924
./input/networks/large11SCC/30038409.bnet,HAND1,[['0']],NA,0.02479
./input/networks/large11SCC/30038409.bnet,!HAND1,[['1']],[0.0],0.01722
./input/networks/large11SCC/30038409.bnet,SALL4,"[['!GSK3B', '!MYF5', '!SMAD1', 'CTNNB1', 'FGF2'], ['!GSK3B', '!MYF5', '!SMAD1', 'CTNNB1', 'PBX1'], ['!GSK3B', '!MYF5', '!TCF3', 'CTNNB1', 'FGF2'], ['!GSK3B', '!MYF5', '!TCF3', 'CTNNB1', 'PBX1'], ['!GSK3B', '!SMAD1', 'CTNNB1', 'FGF2', 'NANOG'], ['!GSK3B', '!SMAD1', 'CTNNB1', 'NANOG', 'PBX1'], ['!GSK3B', '!SMAD1', 'CTNNB1', 'NANOG', 'SOX2'], ['!GSK3B', '!TCF3', 'CTNNB1', 'FGF2', 'NANOG'], ['!GSK3B', '!TCF3', 'CTNNB1', 'NANOG', 'PBX1'], ['!GSK3B', '!TCF3', 'CTNNB1', 'NANOG', 'SOX2']]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.49833
./input/networks/large11SCC/30038409.bnet,!SALL4,[['0']],NA,0.36226
./input/networks/large11SCC/30038409.bnet,CDK6,[['0']],NA,0.93532
./input/networks/large11SCC/30038409.bnet,!CDK6,"[['!GSK3B', 'CTNNB1', 'FGF2'], ['!GSK3B', 'CTNNB1', 'FGFR2']]","[0.0, 0.0]",0.3429
./input/networks/large11SCC/30038409.bnet,ZFHX3,[['0']],NA,0.38008
./input/networks/large11SCC/30038409.bnet,!ZFHX3,"[['!GSK3B', 'CTNNB1']]",[0.073],0.35883
./input/networks/large11SCC/30518777.bnet,KAT1,[['0']],NA,0.08412
./input/networks/large11SCC/30518777.bnet,!KAT1,[['1']],[0.1458],0.06597
./input/networks/large11SCC/30518777.bnet,CLOSURE,[['0']],NA,0.43517
./input/networks/large11SCC/30518777.bnet,!CLOSURE,[['!ABA']],[0.0],0.33069
./input/networks/large11SCC/30518777.bnet,GTG,[['0']],NA,0.00893
./input/networks/large11SCC/30518777.bnet,!GTG,[['1']],[0.0],0.00917
./input/networks/large11SCC/30518777.bnet,ROP11,[['ERA1']],[0.0],0.00691
./input/networks/large11SCC/30518777.bnet,!ROP11,[['!ERA1']],[0.0],0.00675
./input/networks/large11SCC/30953496_as_per_authors.bnet,GLUT4,"[['!IL6', '!STAT3', 'JAK', 'NFKB'], ['!JAK', '!SOCS3', 'IL6', 'STAT3'], ['!STAT3', 'IL6', 'JAK', 'SOCS3']]","[0.0, 0.0, 0.0]",0.09702
./input/networks/large11SCC/30953496_as_per_authors.bnet,!GLUT4,[['0']],NA,0.162
./input/networks/large11SCC/30953496_as_per_authors.bnet,p38,[['1']],[0.0],0.02428
