Network,Target
29230182.bnet,CyclinD1
29230182.bnet,!CyclinD1
29230182.bnet,CDC42
29230182.bnet,!CDC42
29230182.bnet,PDGFB
29230182.bnet,!PDGFB
29230182.bnet,RHO
29230182.bnet,!RHO
29230182.bnet,PIEZO1
29230182.bnet,!PIEZO1
29237040.bnet,CCA
29237040.bnet,!CCA
29237040.bnet,Apoptosis
29237040.bnet,!Apoptosis
29237040.bnet,Metastasis
29237040.bnet,!Metastasis
29237040.bnet,Migration
29237040.bnet,!Migration
29237040.bnet,AKT2
29237040.bnet,!AKT2
29237040.bnet,miRNA
29237040.bnet,!miRNA
29237040.bnet,TGFb_pthw
29237040.bnet,!TGFb_pthw
29237040.bnet,WNT_pthw
29237040.bnet,!WNT_pthw
29378814.bnet,Rex1
29378814.bnet,!Rex1
29378814.bnet,Activin_A_Nodal
29378814.bnet,!Activin_A_Nodal
29378814.bnet,Pecam1
29378814.bnet,!Pecam1
29378814.bnet,Smad6
29378814.bnet,!Smad6
29378814.bnet,BMP4
29378814.bnet,!BMP4
29378814.bnet,Smad7
29378814.bnet,!Smad7
29378814.bnet,Fgfr2
29378814.bnet,!Fgfr2
29378814.bnet,Pitx2
29378814.bnet,!Pitx2
29596489.bnet,TCF
29596489.bnet,!TCF
29596489.bnet,Rho
29596489.bnet,!Rho
29596489.bnet,PI3K
29596489.bnet,!PI3K
29596489.bnet,MEKK1
29596489.bnet,!MEKK1
29596489.bnet,mTORC1
29596489.bnet,!mTORC1
29596489.bnet,TSC2
29596489.bnet,!TSC2
29596489.bnet,IRS
29596489.bnet,!IRS
29596489.bnet,Rac
29596489.bnet,!Rac
29632237.bnet,CDK2
29632237.bnet,!CDK2
29632237.bnet,SGK1
29632237.bnet,!SGK1
29632237.bnet,DEPTOR
29632237.bnet,!DEPTOR
29632237.bnet,PRAS40
29632237.bnet,!PRAS40
29632237.bnet,PIP3
29632237.bnet,!PIP3
29632237.bnet,CYCB
29632237.bnet,!CYCB
29632237.bnet,Viacel
29632237.bnet,!Viacel
29632237.bnet,RAS
29632237.bnet,!RAS
30024932.bnet,Proliferation
30024932.bnet,!Proliferation
30024932.bnet,G2_M_Apoptosis
30024932.bnet,!G2_M_Apoptosis
30024932.bnet,G2_M_Arrest
30024932.bnet,!G2_M_Arrest
30024932.bnet,p53_Arrest
30024932.bnet,!p53_Arrest
30024932.bnet,Cdc2_CycB
30024932.bnet,!Cdc2_CycB
30024932.bnet,p21
30024932.bnet,!p21
30024932.bnet,RB
30024932.bnet,!RB
30024932.bnet,Wip1
30024932.bnet,!Wip1
30038409.bnet,CDK6
30038409.bnet,!CDK6
30038409.bnet,LHX1
30038409.bnet,!LHX1
30038409.bnet,PAX6
30038409.bnet,!PAX6
30038409.bnet,STAT3
30038409.bnet,!STAT3
30038409.bnet,HAND1
30038409.bnet,!HAND1
30038409.bnet,REST
30038409.bnet,!REST
30038409.bnet,SALL4
30038409.bnet,!SALL4
30038409.bnet,NEUROG1
30038409.bnet,!NEUROG1
30104572.bnet,Zeb
30104572.bnet,!Zeb
30104572.bnet,Snail
30104572.bnet,!Snail
30104572.bnet,mu34
30104572.bnet,!mu34
30104572.bnet,mu200
30104572.bnet,!mu200
30281473.bnet,SP1
30281473.bnet,!SP1
30281473.bnet,FOSJUN
30281473.bnet,!FOSJUN
30281473.bnet,BCL2
30281473.bnet,!BCL2
30281473.bnet,CCND1
30281473.bnet,!CCND1
30281473.bnet,SRFELK4
30281473.bnet,!SRFELK4
30281473.bnet,SRFELK1
30281473.bnet,!SRFELK1
30281473.bnet,PDPK1
30281473.bnet,!PDPK1
30281473.bnet,GRB2
30281473.bnet,!GRB2
30323768.bnet,p24Gag
30323768.bnet,!p24Gag
30323768.bnet,NFkappaB
30323768.bnet,!NFkappaB
30323768.bnet,Rev
30323768.bnet,!Rev
30323768.bnet,HMTs
30323768.bnet,!HMTs
30323768.bnet,p3LTR
30323768.bnet,!p3LTR
30323768.bnet,vsaRNA
30323768.bnet,!vsaRNA
30323768.bnet,Vpr
30323768.bnet,!Vpr
30323768.bnet,vsiRNA
30323768.bnet,!vsiRNA
30518777.bnet,GTG
30518777.bnet,!GTG
30518777.bnet,CLOSURE
30518777.bnet,!CLOSURE
30518777.bnet,KAT1
30518777.bnet,!KAT1
30518777.bnet,ROP11
30518777.bnet,!ROP11
30518777.bnet,PLC
30518777.bnet,!PLC
30518777.bnet,Icas
30518777.bnet,!Icas
30518777.bnet,PYR
30518777.bnet,!PYR
30518777.bnet,PI4P
30518777.bnet,!PI4P
30530226.bnet,Cell_Cycle_Arrest
30530226.bnet,!Cell_Cycle_Arrest
30530226.bnet,Apoptosis
30530226.bnet,!Apoptosis
30530226.bnet,Proliferation
30530226.bnet,!Proliferation
30530226.bnet,pRB
30530226.bnet,!pRB
30530226.bnet,Cdc25ABC
30530226.bnet,!Cdc25ABC
30530226.bnet,PTEN
30530226.bnet,!PTEN
30530226.bnet,p15INK4b
30530226.bnet,!p15INK4b
30530226.bnet,CHEK1_CHEK2
30530226.bnet,!CHEK1_CHEK2
30546316.bnet,IL12_out
30546316.bnet,!IL12_out
30546316.bnet,STAT6
30546316.bnet,!STAT6
30546316.bnet,SOCS1
30546316.bnet,!SOCS1
30546316.bnet,ERK
30546316.bnet,!ERK
30546316.bnet,IFNb
30546316.bnet,!IFNb
30546316.bnet,STAT3
30546316.bnet,!STAT3
30546316.bnet,IL10_out
30546316.bnet,!IL10_out
30546316.bnet,IL4Ra
30546316.bnet,!IL4Ra
30953496_as_per_authors.bnet,Apoptosis
30953496_as_per_authors.bnet,!Apoptosis
30953496_as_per_authors.bnet,G6PC
30953496_as_per_authors.bnet,!G6PC
30953496_as_per_authors.bnet,p38
30953496_as_per_authors.bnet,!p38
30953496_as_per_authors.bnet,GS
30953496_as_per_authors.bnet,!GS
30953496_as_per_authors.bnet,GLUT4
30953496_as_per_authors.bnet,!GLUT4
30953496_as_per_authors.bnet,PEPCK
30953496_as_per_authors.bnet,!PEPCK
30953496_as_per_authors.bnet,PIP3
30953496_as_per_authors.bnet,!PIP3
30953496_as_per_authors.bnet,mTORC2
30953496_as_per_authors.bnet,!mTORC2
31130988.bnet,DSB
31130988.bnet,!DSB
31130988.bnet,WEE1
31130988.bnet,!WEE1
31130988.bnet,RNF4
31130988.bnet,!RNF4
31130988.bnet,PLK1
31130988.bnet,!PLK1
31130988.bnet,p53
31130988.bnet,!p53
31130988.bnet,FANCD2I
31130988.bnet,!FANCD2I
31130988.bnet,R_DSB
31130988.bnet,!R_DSB
31130988.bnet,NUC1
31130988.bnet,!NUC1
31516637_model4.bnet,Acetyl_COA
31516637_model4.bnet,!Acetyl_COA
31516637_model4.bnet,PDK
31516637_model4.bnet,!PDK
31516637_model4.bnet,AMPK
31516637_model4.bnet,!AMPK
31516637_model4.bnet,Fatty_acids
31516637_model4.bnet,!Fatty_acids
31516637_model4.bnet,Pyruvate
31516637_model4.bnet,!Pyruvate
31516637_model4.bnet,PDC
31516637_model4.bnet,!PDC
31516637_model4.bnet,Malonyl_CoA
31516637_model4.bnet,!Malonyl_CoA
31516637_model4.bnet,Citrate
31516637_model4.bnet,!Citrate
31949240.bnet,Fibrosis
31949240.bnet,!Fibrosis
31949240.bnet,Inflammation
31949240.bnet,!Inflammation
31949240.bnet,Vasoconstriction
31949240.bnet,!Vasoconstriction
31949240.bnet,MV_Rarefaction
31949240.bnet,!MV_Rarefaction
31949240.bnet,NADPH_oxidase
31949240.bnet,!NADPH_oxidase
31949240.bnet,Mild_renal_ischemia
31949240.bnet,!Mild_renal_ischemia
31949240.bnet,TIMP_MMPs
31949240.bnet,!TIMP_MMPs
31949240.bnet,BF
31949240.bnet,!BF
32054948.bnet,Apoptosis
32054948.bnet,!Apoptosis
32054948.bnet,SIPS
32054948.bnet,!SIPS
32054948.bnet,Proliferation
32054948.bnet,!Proliferation
32054948.bnet,p53_A
32054948.bnet,!p53_A
32054948.bnet,Mdm2
32054948.bnet,!Mdm2
32054948.bnet,p53_INP1
32054948.bnet,!p53_INP1
32054948.bnet,ATM
32054948.bnet,!ATM
32054948.bnet,Cdc25A
32054948.bnet,!Cdc25A
33780439.bnet,HAG_transcription
33780439.bnet,!HAG_transcription
33780439.bnet,hyphal_maintenance
33780439.bnet,!hyphal_maintenance
33780439.bnet,Efg1
